mep_id,start_date,end_date,political_group
36392,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
36392,02-07-2019,28-01-2024,Group of the European People's Party (Christian Democrats)
36392,29-01-2024,,Identity and Democracy Group
250918,30-11-2023,,Group of the Greens/European Free Alliance
197538,02-07-2019,,European Conservatives and Reformists Group
124735,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124735,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1992,19-07-1994,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
1992,20-07-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
1992,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
1992,14-07-2009,15-09-2009,Group of the European People's Party (Christian Democrats)
1992,16-09-2009,20-12-2011,Group of the European People's Party (Christian Democrats)
1992,02-07-2019,,Group of the European People's Party (Christian Democrats)
197550,02-07-2019,29-09-2020,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197550,30-09-2020,,Group of the Greens/European Free Alliance
228604,14-12-2021,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
232843,12-03-2024,,Group of the Greens/European Free Alliance
197623,02-07-2019,,Identity and Democracy Group
253008,27-02-2024,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197587,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124704,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
124704,02-07-2019,,Group of the European People's Party (Christian Democrats)
197414,02-07-2019,,Group of the European People's Party (Christian Democrats)
197702,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28399,20-07-2004,30-08-2004,Group of the European People's Party (Christian Democrats) and European Democrats
28399,31-08-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28399,14-07-2009,15-09-2009,Group of the European People's Party (Christian Democrats)
28399,16-09-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
28399,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
28399,02-07-2019,,Group of the European People's Party (Christian Democrats)
197663,02-07-2019,,Renew Europe Group
197585,02-07-2019,,Renew Europe Group
197680,02-07-2019,,Identity and Democracy Group
96780,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
96780,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
96780,02-07-2019,,Group of the European People's Party (Christian Democrats)
58789,01-07-2014,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
58789,02-07-2019,,Renew Europe Group
197740,02-07-2019,,Non-attached Members
197767,02-07-2019,,European Conservatives and Reformists Group
197863,02-07-2019,,Group of the European People's Party (Christian Democrats)
130100,01-01-2015,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
130100,02-07-2019,,Renew Europe Group
197868,02-07-2019,,Renew Europe Group
103381,01-07-2014,01-07-2019,Group of the Greens/European Free Alliance
103381,02-07-2019,12-10-2022,Group of the Greens/European Free Alliance
103381,13-10-2022,,Group of the Greens/European Free Alliance
28294,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28294,02-07-2019,,Group of the European People's Party (Christian Democrats)
197667,02-07-2019,,Group of the European People's Party (Christian Democrats)
247709,05-09-2023,13-09-2023,Non-attached Members
247709,14-09-2023,,Group of the European People's Party (Christian Democrats)
197589,02-07-2019,,Renew Europe Group
197408,02-07-2019,,Group of the European People's Party (Christian Democrats)
96646,14-07-2009,30-06-2014,Confederal Group of the European United Left
96646,01-07-2014,01-07-2019,Confederal Group of the European United Left
96646,02-07-2019,17-12-2020,Group of the European United Left
96646,18-12-2020,,The Left group in the European Parliament
197637,02-07-2019,,Group of the European People's Party (Christian Democrats)
239260,02-11-2022,,European Conservatives and Reformists Group
197432,02-07-2019,,Renew Europe Group
197512,02-07-2019,,Group of the Greens/European Free Alliance
124834,01-07-2014,01-07-2019,Non-attached Members
124834,02-07-2019,,Non-attached Members
124715,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
124715,02-07-2019,,Group of the European People's Party (Christian Democrats)
4560,20-07-1999,19-07-2004,"Group of the European Liberal, Democrat and Reform Party"
4560,20-07-2004,13-07-2009,Group of the Alliance of Liberals and Democrats for Europe
4560,14-07-2009,30-06-2014,Group of the Alliance of Liberals and Democrats for Europe
4560,02-07-2019,,Group of the European People's Party (Christian Democrats)
198329,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
250237,16-11-2023,,Group of the European People's Party (Christian Democrats)
197489,02-07-2019,22-05-2024,Identity and Democracy Group
197489,23-05-2024,,Non-attached Members
199996,03-09-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96761,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
96761,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
96761,02-07-2019,,Group of the European People's Party (Christian Democrats)
197780,01-02-2020,,Renew Europe Group
197488,02-07-2019,22-05-2024,Identity and Democracy Group
197488,23-05-2024,,Non-attached Members
197791,02-07-2019,19-03-2024,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197791,20-03-2024,,Non-attached Members
197824,02-07-2019,22-06-2021,Group of the European People's Party (Christian Democrats)
197824,23-06-2021,,European Conservatives and Reformists Group
124850,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
124850,02-07-2019,,Group of the European People's Party (Christian Democrats)
197417,02-07-2019,,Group of the European People's Party (Christian Democrats)
197453,02-07-2019,,Group of the Greens/European Free Alliance
96756,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
96756,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
96756,02-07-2019,,Group of the European People's Party (Christian Democrats)
124722,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124722,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28619,20-07-2004,13-07-2009,Group of the Greens/European Free Alliance
28619,14-07-2009,30-06-2014,Group of the Greens/European Free Alliance
28619,01-07-2014,04-03-2018,Group of the Greens/European Free Alliance
28619,02-07-2019,31-03-2022,Group of the Greens/European Free Alliance
28619,01-04-2022,,Non-attached Members
29579,09-08-2004,19-07-2007,Socialist Group in the European Parliament
29579,16-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
29579,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
29579,02-07-2019,18-01-2023,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
29579,19-01-2023,,Non-attached Members
197838,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
5565,15-09-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
5565,20-07-2004,02-06-2005,Group of the European People's Party (Christian Democrats) and European Democrats
5565,24-03-2011,30-06-2014,Group of the European People's Party (Christian Democrats)
5565,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
5565,02-07-2019,,Group of the European People's Party (Christian Democrats)
197400,02-07-2019,,Renew Europe Group
197844,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
237465,03-10-2022,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197533,02-07-2019,17-07-2019,Group of the European United Left
197533,18-07-2019,17-12-2020,Group of the European United Left
197533,18-12-2020,,The Left group in the European Parliament
197552,02-07-2019,09-03-2020,European Conservatives and Reformists Group
197552,10-03-2020,04-04-2022,European Conservatives and Reformists Group
197552,05-04-2022,12-06-2023,European Conservatives and Reformists Group
197552,13-06-2023,,European Conservatives and Reformists Group
24922,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
24922,02-07-2019,,Group of the European People's Party (Christian Democrats)
35016,02-07-2019,,Identity and Democracy Group
193273,03-07-2018,01-07-2019,Group of the Greens/European Free Alliance
193273,02-07-2019,,Group of the Greens/European Free Alliance
96812,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96812,01-07-2014,14-04-2015,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96812,15-04-2015,21-07-2015,Non-attached Members
96812,22-07-2015,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96812,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197470,02-07-2019,,Group of the Greens/European Free Alliance
22858,17-06-2002,02-07-2002,Group of the European People's Party (Christian Democrats) and European Democrats
22858,02-07-2019,,Renew Europe Group
197596,02-07-2019,04-04-2023,Identity and Democracy Group
197596,05-04-2023,05-04-2023,Non-attached Members
197596,06-04-2023,,European Conservatives and Reformists Group
130833,27-01-2015,01-07-2019,Confederal Group of the European United Left
130833,02-07-2019,17-12-2020,Group of the European United Left
130833,18-12-2020,,The Left group in the European Parliament
125038,01-07-2014,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
125038,02-07-2019,,Renew Europe Group
124844,01-07-2014,15-10-2014,Europe of Freedom and Direct Democracy Group
124844,16-10-2014,19-10-2014,Non-attached Members
124844,20-10-2014,01-07-2019,Europe of Freedom and Direct Democracy Group
124844,02-07-2019,08-12-2020,Non-attached Members
124844,09-12-2020,,Group of the Greens/European Free Alliance
